kl: 30 , 2(28) ,30(0)
kl: 30 , 2(29) ,30(0)
kl: 30 , 2(30) ,30(0)
kl: 30 , 2(29) ,30(0)
kl: 30 , 2(30) ,30(0)
kl: 30 , 2(27) ,30(0)
kl: 30 , 2(28) ,30(0)
kl: 30 , 2(28) ,30(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 32 , 2(31) ,32(0)
kl: 32 , 2(31) ,32(0)
kl: 32 , 2(28) ,32(0)
kl: 32 , 2(31) ,32(0)
kl: 32 , 2(31) ,32(0)
kl: 32 , 2(28) ,32(0)
kl: 32 , 2(29) ,32(0)
kl: 32 , 2(29) ,32(0)
kl: 32 , 2(28) ,32(0)
kl: 32 , 2(31) ,32(0)
kl: 33 , 3(29) ,33(0)
kl: 33 , 3(31) ,33(0)
kl: 33 , 3(28) ,33(0)
kl: 33 , 3(31) ,33(0)
kl: 33 , 3(29) ,33(0)
kl: 33 , 3(32) ,33(0)
kl: 33 , 3(29) ,33(0)
kl: 33 , 3(30) ,33(0)
kl: 33 , 3(30) ,33(0)
kl: 33 , 3(30) ,33(0)
kl: 34 , 2(31) ,34(0)
kl: 34 , 2(33) ,34(0)
kl: 34 , 2(32) ,34(0)
kl: 34 , 2(31) ,34(0)
kl: 34 , 2(31) ,34(0)
kl: 34 , 2(34) ,34(0)
kl: 34 , 2(32) ,34(0)
kl: 34 , 2(29) ,34(0)
kl: 34 , 2(30) ,34(0)
kl: 34 , 2(33) ,34(0)
kl: 35 , 5(31) ,35(1)
kl: 35 , 5(30) ,35(1)
kl: 35 , 5(32) ,35(1)
kl: 35 , 5(30) ,35(1)
kl: 35 , 5(33) ,35(1)
kl: 35 , 5(30) ,35(1)
kl: 35 , 5(30) ,35(1)
kl: 35 , 5(32) ,35(1)
kl: 35 , 5(31) ,35(1)
kl: 35 , 5(32) ,35(1)
kl: 36 , 2(34) ,36(1)
kl: 36 , 2(35) ,36(1)
kl: 36 , 2(33) ,36(1)
kl: 36 , 2(34) ,36(1)
kl: 36 , 2(34) ,36(1)
kl: 36 , 2(34) ,36(1)
kl: 36 , 2(33) ,36(1)
kl: 36 , 2(35) ,36(1)
kl: 36 , 2(33) ,36(1)
kl: 36 , 2(34) ,36(1)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 38 , 2(35) ,38(1)
kl: 38 , 2(34) ,38(1)
kl: 38 , 2(37) ,38(1)
kl: 38 , 2(34) ,38(1)
kl: 38 , 2(36) ,38(1)
kl: 38 , 2(36) ,38(1)
kl: 38 , 2(36) ,38(1)
kl: 38 , 2(35) ,38(1)
kl: 38 , 2(34) ,38(1)
kl: 38 , 2(35) ,38(1)
kl: 39 , 3(34) ,39(0)
kl: 39 , 3(36) ,39(0)
kl: 39 , 3(36) ,39(0)
kl: 39 , 3(35) ,39(0)
kl: 39 , 3(38) ,39(0)
kl: 39 , 3(34) ,39(0)
kl: 39 , 3(37) ,39(0)
kl: 39 , 3(38) ,39(0)
kl: 39 , 3(37) ,39(0)
kl: 39 , 3(34) ,39(0)
kl: 40 , 2(37) ,40(0)
kl: 40 , 2(33) ,40(0)
kl: 40 , 2(37) ,40(0)
kl: 40 , 2(39) ,40(0)
kl: 40 , 2(36) ,40(0)
kl: 40 , 2(35) ,40(0)
kl: 40 , 2(37) ,40(0)
kl: 40 , 2(37) ,40(0)
kl: 40 , 2(37) ,40(0)
kl: 40 , 2(38) ,40(0)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 42 , 2(39) ,42(1)
kl: 42 , 2(37) ,42(1)
kl: 42 , 2(34) ,42(1)
kl: 42 , 2(38) ,42(1)
kl: 42 , 2(38) ,42(1)
kl: 42 , 2(38) ,42(1)
kl: 42 , 2(40) ,42(1)
kl: 42 , 2(40) ,42(1)
kl: 42 , 2(40) ,42(1)
kl: 42 , 2(41) ,42(1)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 44 , 2(42) ,44(0)
kl: 44 , 2(40) ,44(0)
kl: 44 , 2(42) ,44(0)
kl: 44 , 2(42) ,44(0)
kl: 44 , 2(40) ,44(0)
kl: 44 , 2(40) ,44(0)
kl: 44 , 2(42) ,44(0)
kl: 44 , 2(40) ,44(0)
kl: 44 , 2(42) ,44(0)
kl: 44 , 2(42) ,44(0)
kl: 45 , 3(41) ,45(0)
kl: 45 , 3(42) ,45(0)
kl: 45 , 3(41) ,45(0)
kl: 45 , 3(43) ,45(0)
kl: 45 , 3(42) ,45(0)
kl: 45 , 3(39) ,45(0)
kl: 45 , 3(40) ,45(0)
kl: 45 , 3(39) ,45(0)
kl: 45 , 3(42) ,45(0)
kl: 45 , 3(42) ,45(0)
kl: 46 , 2(41) ,46(1)
kl: 46 , 2(45) ,46(1)
kl: 46 , 2(40) ,46(1)
kl: 46 , 2(39) ,46(1)
kl: 46 , 2(44) ,46(1)
kl: 46 , 2(41) ,46(1)
kl: 46 , 2(44) ,46(1)
kl: 46 , 2(37) ,46(1)
kl: 46 , 2(43) ,46(1)
kl: 46 , 2(40) ,46(1)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 48 , 2(43) ,48(3)
kl: 48 , 2(45) ,48(3)
kl: 48 , 2(46) ,48(3)
kl: 48 , 2(45) ,48(3)
kl: 48 , 2(44) ,48(3)
kl: 48 , 2(44) ,48(3)
kl: 48 , 2(44) ,48(3)
kl: 48 , 2(41) ,48(3)
kl: 48 , 2(45) ,48(3)
kl: 48 , 2(40) ,48(3)
kl: 49 , 7(41) ,49(2)
kl: 49 , 7(47) ,49(2)
kl: 49 , 7(43) ,49(2)
kl: 49 , 7(44) ,49(2)
kl: 49 , 7(44) ,49(2)
kl: 49 , 7(42) ,49(2)
kl: 49 , 7(43) ,49(2)
kl: 49 , 7(39) ,49(2)
kl: 49 , 7(46) ,49(2)
kl: 49 , 7(45) ,49(2)
kl: 50 , 2(45) ,50(2)
kl: 50 , 2(47) ,50(2)
kl: 50 , 2(46) ,50(2)
kl: 50 , 2(45) ,50(2)
kl: 50 , 2(49) ,50(2)
kl: 50 , 2(47) ,50(2)
kl: 50 , 2(46) ,50(2)
kl: 50 , 2(44) ,50(2)
kl: 50 , 2(48) ,50(2)
kl: 50 , 2(47) ,50(2)
kl: 51 , 3(46) ,51(0)
kl: 51 , 3(49) ,51(0)
kl: 51 , 3(46) ,51(0)
kl: 51 , 3(45) ,51(0)
kl: 51 , 3(45) ,51(0)
kl: 51 , 3(48) ,51(0)
kl: 51 , 3(45) ,51(0)
kl: 51 , 3(48) ,51(0)
kl: 51 , 3(47) ,51(0)
kl: 51 , 3(47) ,51(0)
kl: 52 , 2(52) ,52(0)
kl: 52 , 2(51) ,52(0)
kl: 52 , 2(50) ,52(0)
kl: 52 , 2(49) ,52(0)
kl: 52 , 2(51) ,52(0)
kl: 52 , 2(51) ,52(0)
kl: 52 , 2(48) ,52(0)
kl: 52 , 2(47) ,52(0)
kl: 52 , 2(44) ,52(0)
kl: 52 , 2(49) ,52(0)
kl: 53 , 53(0) ,53(0)
kl: 53 , 53(0) ,53(0)
kl: 53 , 53(0) ,53(0)
kl: 53 , 53(0) ,53(0)
kl: 53 , 53(0) ,53(0)
kl: 53 , 53(0) ,53(0)
kl: 53 , 53(0) ,53(0)
kl: 53 , 53(0) ,53(0)
kl: 53 , 53(0) ,53(0)
kl: 53 , 53(0) ,53(0)
kl: 54 , 2(51) ,54(3)
kl: 54 , 2(48) ,54(3)
kl: 54 , 2(51) ,54(3)
kl: 54 , 2(49) ,54(3)
kl: 54 , 2(46) ,54(3)
kl: 54 , 2(50) ,54(3)
kl: 54 , 2(51) ,54(3)
kl: 54 , 2(47) ,54(3)
kl: 54 , 2(47) ,54(3)
kl: 54 , 2(54) ,54(3)
