kl: 30 , 10(27) ,60(0)
kl: 30 , 10(24) ,60(0)
kl: 30 , 10(24) ,60(0)
kl: 30 , 10(23) ,60(0)
kl: 30 , 10(24) ,60(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 31 , 31(0) ,31(0)
kl: 32 , 8(24) ,32(0)
kl: 32 , 8(26) ,32(0)
kl: 32 , 8(24) ,32(0)
kl: 32 , 8(26) ,32(0)
kl: 32 , 8(26) ,32(0)
kl: 32 , 8(28) ,32(0)
kl: 32 , 8(28) ,32(0)
kl: 32 , 8(26) ,32(0)
kl: 32 , 8(29) ,32(0)
kl: 32 , 8(28) ,32(0)
kl: 33 , 11(26) ,33(0)
kl: 33 , 11(28) ,33(0)
kl: 33 , 11(22) ,33(0)
kl: 33 , 11(28) ,33(0)
kl: 33 , 11(27) ,33(0)
kl: 33 , 11(28) ,33(0)
kl: 33 , 11(27) ,33(0)
kl: 33 , 11(26) ,33(0)
kl: 33 , 11(31) ,33(0)
kl: 33 , 11(27) ,33(0)
kl: 34 , 17(28) ,34(0)
kl: 34 , 17(30) ,34(0)
kl: 34 , 17(23) ,34(0)
kl: 34 , 17(25) ,34(0)
kl: 34 , 17(23) ,34(0)
kl: 34 , 17(25) ,34(0)
kl: 34 , 17(25) ,34(0)
kl: 34 , 17(25) ,34(0)
kl: 34 , 17(24) ,34(0)
kl: 34 , 17(28) ,34(0)
kl: 35 , 7(30) ,35(1)
kl: 35 , 7(32) ,35(1)
kl: 35 , 7(30) ,35(1)
kl: 35 , 7(33) ,35(1)
kl: 35 , 7(33) ,35(1)
kl: 35 , 7(34) ,35(1)
kl: 35 , 7(28) ,35(1)
kl: 35 , 7(30) ,35(1)
kl: 35 , 7(28) ,35(1)
kl: 35 , 7(29) ,35(1)
kl: 36 , 9(32) ,36(1)
kl: 36 , 12(32) ,36(1)
kl: 36 , 9(28) ,36(1)
kl: 36 , 6(28) ,36(1)
kl: 36 , 12(27) ,36(1)
kl: 36 , 9(30) ,36(1)
kl: 36 , 12(29) ,36(1)
kl: 36 , 9(32) ,36(1)
kl: 36 , 9(33) ,36(1)
kl: 36 , 12(33) ,36(1)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 37 , 37(0) ,37(0)
kl: 38 , 19(31) ,38(1)
kl: 38 , 19(27) ,38(1)
kl: 38 , 19(29) ,38(1)
kl: 38 , 19(27) ,38(1)
kl: 38 , 19(28) ,38(1)
kl: 38 , 19(31) ,38(1)
kl: 38 , 19(28) ,38(1)
kl: 38 , 19(21) ,38(1)
kl: 38 , 19(24) ,38(1)
kl: 38 , 19(27) ,38(1)
kl: 39 , 13(32) ,39(0)
kl: 39 , 13(28) ,39(0)
kl: 39 , 13(33) ,39(0)
kl: 39 , 13(29) ,39(0)
kl: 39 , 13(32) ,39(0)
kl: 39 , 13(32) ,39(0)
kl: 39 , 13(30) ,39(0)
kl: 39 , 13(29) ,39(0)
kl: 39 , 13(30) ,39(0)
kl: 39 , 13(32) ,39(0)
kl: 40 , 10(33) ,40(0)
kl: 40 , 10(34) ,40(0)
kl: 40 , 8(35) ,40(0)
kl: 40 , 10(30) ,40(0)
kl: 40 , 10(37) ,40(0)
kl: 40 , 10(34) ,40(0)
kl: 40 , 10(32) ,40(0)
kl: 40 , 10(32) ,40(0)
kl: 40 , 10(32) ,40(0)
kl: 40 , 10(33) ,40(0)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 41 , 41(1) ,41(1)
kl: 42 , 14(35) ,42(1)
kl: 42 , 14(34) ,42(1)
kl: 42 , 14(32) ,42(1)
kl: 42 , 14(31) ,42(1)
kl: 42 , 14(34) ,42(1)
kl: 42 , 14(33) ,42(1)
kl: 42 , 14(34) ,42(1)
kl: 42 , 14(36) ,42(1)
kl: 42 , 14(37) ,42(1)
kl: 42 , 14(37) ,42(1)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 43 , 43(0) ,43(0)
kl: 44 , 11(36) ,44(0)
kl: 44 , 11(38) ,44(0)
kl: 44 , 22(33) ,44(0)
kl: 44 , 11(36) ,44(0)
kl: 44 , 11(36) ,44(0)
kl: 44 , 11(36) ,44(0)
kl: 44 , 11(38) ,44(0)
kl: 44 , 11(37) ,44(0)
kl: 44 , 11(39) ,44(0)
kl: 44 , 11(38) ,44(0)
kl: 45 , 15(36) ,45(0)
kl: 45 , 15(37) ,45(0)
kl: 45 , 15(38) ,45(0)
kl: 45 , 9(35) ,45(0)
kl: 45 , 15(38) ,45(0)
kl: 45 , 15(34) ,45(0)
kl: 45 , 9(34) ,45(0)
kl: 45 , 15(39) ,45(0)
kl: 45 , 9(38) ,45(0)
kl: 45 , 15(39) ,45(0)
kl: 46 , 23(27) ,46(1)
kl: 46 , 23(37) ,46(1)
kl: 46 , 23(36) ,46(1)
kl: 46 , 23(37) ,46(1)
kl: 46 , 23(25) ,46(1)
kl: 46 , 23(34) ,46(1)
kl: 46 , 23(34) ,46(1)
kl: 46 , 23(38) ,46(1)
kl: 46 , 23(34) ,46(1)
kl: 46 , 23(34) ,46(1)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 47 , 47(0) ,47(0)
kl: 48 , 12(37) ,48(3)
kl: 48 , 12(41) ,48(3)
kl: 48 , 12(41) ,48(3)
kl: 48 , 12(41) ,48(3)
kl: 48 , 12(40) ,48(3)
kl: 48 , 12(39) ,48(3)
kl: 48 , 12(42) ,48(3)
kl: 48 , 12(43) ,48(3)
kl: 48 , 12(43) ,48(3)
kl: 48 , 12(41) ,48(3)
kl: 49 , 49(2) ,49(2)
kl: 49 , 49(2) ,49(2)
kl: 49 , 49(2) ,49(2)
kl: 49 , 7(41) ,49(2)
kl: 49 , 49(2) ,49(2)
kl: 49 , 49(2) ,49(2)
kl: 49 , 49(2) ,49(2)
kl: 49 , 49(2) ,49(2)
kl: 49 , 49(2) ,49(2)
kl: 49 , 49(2) ,49(2)
kl: 50 , 10(44) ,50(2)
kl: 50 , 10(46) ,50(2)
kl: 50 , 10(41) ,50(2)
kl: 50 , 25(37) ,50(2)
